suburb,flag,property_type,count,median,postcode,lat,long,match_status
Albert Park,group_1,1 Bed Flat,194,425,3206,-37.846534,144.95086,match
Albert Park,group_1,2 Bed Flat,156,600,3206,-37.846534,144.95086,match
Albert Park,group_1,3 bed flat,19,860,3206,-37.846534,144.95086,match
Albert Park,group_1,2 bed house,76,738,3206,-37.846534,144.95086,match
Albert Park,group_1,3 Bed House,86,1140,3206,-37.846534,144.95086,match
Albert Park,group_1,4 bed house,27,1475,3206,-37.846534,144.95086,match
Middle Park,group_1,1 Bed Flat,194,425,3206,-37.846534,144.95086,match
Middle Park,group_1,2 Bed Flat,156,600,3206,-37.846534,144.95086,match
Middle Park,group_1,3 bed flat,19,860,3206,-37.846534,144.95086,match
Middle Park,group_1,2 bed house,76,738,3206,-37.846534,144.95086,match
Middle Park,group_1,3 Bed House,86,1140,3206,-37.846534,144.95086,match
Middle Park,group_1,4 bed house,27,1475,3206,-37.846534,144.95086,match
Mitcham,group_100,1 Bed Flat,53,385,3132,-37.819222,145.196686,match
Mitcham,group_100,2 Bed Flat,227,460,3132,-37.819222,145.196686,match
Mitcham,group_100,3 bed flat,94,595,3132,-37.819222,145.196686,match
Mitcham,group_100,2 bed house,56,480,3132,-37.819222,145.196686,match
Mitcham,group_100,3 Bed House,179,560,3132,-37.819222,145.196686,match
Mitcham,group_100,4 bed house,60,678,3132,-37.819222,145.196686,match
Nunawading,group_100,1 Bed Flat,53,385,3131,-37.817798,145.174489,match
Nunawading,group_100,2 Bed Flat,227,460,3131,-37.817798,145.174489,match
Nunawading,group_100,3 bed flat,94,595,3131,-37.817798,145.174489,match
Nunawading,group_100,2 bed house,56,480,3131,-37.817798,145.174489,match
Nunawading,group_100,3 Bed House,179,560,3131,-37.817798,145.174489,match
Nunawading,group_100,4 bed house,60,678,3131,-37.817798,145.174489,match
Fawkner,group_101,1 Bed Flat,81,370,3060,-37.707326,144.967874,match
Fawkner,group_101,2 Bed Flat,476,450,3060,-37.707326,144.967874,match
Fawkner,group_101,3 bed flat,245,550,3060,-37.707326,144.967874,match
Fawkner,group_101,2 bed house,101,450,3060,-37.707326,144.967874,match
Fawkner,group_101,3 Bed House,356,510,3060,-37.707326,144.967874,match
Fawkner,group_101,4 bed house,77,600,3060,-37.707326,144.967874,match
Glenroy,group_101,1 Bed Flat,81,370,3046,-37.706578,144.927968,match
Glenroy,group_101,2 Bed Flat,476,450,3046,-37.706578,144.927968,match
Glenroy,group_101,3 bed flat,245,550,3046,-37.706578,144.927968,match
Glenroy,group_101,2 bed house,101,450,3046,-37.706578,144.927968,match
Glenroy,group_101,3 Bed House,356,510,3046,-37.706578,144.927968,match
Glenroy,group_101,4 bed house,77,600,3046,-37.706578,144.927968,match
Oak Park,group_101,1 Bed Flat,81,370,3046,-37.706578,144.927968,match
Oak Park,group_101,2 Bed Flat,476,450,3046,-37.706578,144.927968,match
Oak Park,group_101,3 bed flat,245,550,3046,-37.706578,144.927968,match
Oak Park,group_101,2 bed house,101,450,3046,-37.706578,144.927968,match
Oak Park,group_101,3 Bed House,356,510,3046,-37.706578,144.927968,match
Oak Park,group_101,4 bed house,77,600,3046,-37.706578,144.927968,match
Barwon Heads,group_102,1 Bed Flat,16,290,3227,-38.263052,144.40814,match
Barwon Heads,group_102,2 Bed Flat,43,445,3227,-38.263052,144.40814,match
Barwon Heads,group_102,3 bed flat,38,530,3227,-38.263052,144.40814,match
Barwon Heads,group_102,2 bed house,16,450,3227,-38.263052,144.40814,match
Barwon Heads,group_102,3 Bed House,173,530,3227,-38.263052,144.40814,match
Barwon Heads,group_102,4 bed house,165,600,3227,-38.263052,144.40814,match
Ocean Grove,group_102,1 Bed Flat,16,290,3226,-38.263811,144.523761,match
Ocean Grove,group_102,2 Bed Flat,43,445,3226,-38.263811,144.523761,match
Ocean Grove,group_102,3 bed flat,38,530,3226,-38.263811,144.523761,match
